CODIGO CLIENTE;NF;VALOR PIX;PIX COPIA E COLA
0207-0318;1371044;198,72;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406198.725802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137104463042C91
0207-0293;1371045;129,84;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406129.845802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137104563046455
0207-0287;1371046;167,22;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406167.225802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371046630469FE
0207-0355;1371047;565,51;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406565.515802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137104763043E8E
0207-0357;1371050;235,68;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406235.685802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710506304C90C
0207-0208;1371056;491,77;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406491.775802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710566304589E
0207-0244;1371057;464,58;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406464.585802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137105763049BF4
0207-0265;1371059;731,82;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406731.825802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137105963040167
0207-0339;1371060;382,80;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406382.805802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137106063046DA3
0207-0361;1371061;99,60;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br520400005303986540599.605802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710616304A227
0207-0026;1371063;77,79;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br520400005303986540577.795802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371063630458E4
0207-0026;1371064;286,57;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406286.575802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710646304ADA7
0207-0007;1371065;415,49;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406415.495802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137106563043E5A
0207-0343;1371068;433,92;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406433.925802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710686304185B
0207-0319;1371070;464,04;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406464.045802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137107063047D56
0207-0009;1371071;49,20;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br520400005303986540549.205802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710716304580E
0207-0272;1371072;235,80;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406235.805802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371072630400C0
0221-0178;1371073;2374,70;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654072374.705802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710736304CB83
0221-0145;1371074;773,40;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406773.405802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371074630413C6
0221-0180;1371076;2508,02;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654072508.025802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710766304C085
0221-0171;1371077;1190,47;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654071190.475802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137107763042207
0221-0183;1371078;3130,62;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654073130.625802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710786304C01A
0204-0156;1371079;422,02;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406422.025802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137107963047837
0221-0144;1371081;1124,92;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654071124.925802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371081630430A6
0221-0144;1371082;111,12;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406111.125802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137108263047530
0204-0034;1371084;864,53;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406864.535802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137108463042515
0204-0140;1371085;696,21;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406696.215802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137108563048548
0204-0031;1371086;409,05;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406409.055802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710866304D358
0204-0105;1371089;311,95;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406311.955802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137108963047B9B
0204-0154;1371090;66,48;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br520400005303986540566.485802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710906304A7F4
0204-0099;1371092;280,81;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406280.815802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137109263046EA5
0204-0146;1371093;473,16;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406473.165802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710936304E2A4
0204-0161;1371094;87,06;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br520400005303986540587.065802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137109463040F75
0204-0122;1371097;260,82;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406260.825802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710976304D5BF
0221-0173;1371098;403,86;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406403.865802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13710986304FF08
0204-0008;1371100;440,11;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406440.115802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711006304240D
0204-0088;1371101;176,10;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406176.105802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711016304D425
0207-0107;1371102;1002,63;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br52040000530398654071002.635802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711026304B93A
0207-0362;1371103;218,40;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406218.405802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137110363041213
0204-0158;1371104;355,26;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406355.265802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711046304B7BC
0210-0211;1371109;104,58;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406104.585802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711096304EE30
0210-0026;1371112;122,10;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406122.105802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137111263049D78
0210-0094;1371113;191,82;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406191.825802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711136304AF42
0210-0228;1371116;327,02;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406327.025802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137111663042D4A
0210-0231;1371125;449,18;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406449.185802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137112563049DC1
0210-0231;1371126;384,40;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406384.405802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137112663043209
0210-0232;1371127;209,95;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406209.955802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF1371127630422E1
0210-0140;1371128;317,82;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406317.825802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137112863043CE6
0204-0113;1371141;383,77;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406383.775802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF137114163048EB1
0204-0150;1371142;118,56;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406118.565802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711426304D5EC
0204-0121;1371145;372,66;00020126430014BR.GOV.BCB.PIX0121pix@tgrbebidas.com.br5204000053039865406372.665802BR5916TGR BEBIDAS LTDA6005IRECE62130509NF13711456304C5B8
